gene_name	gene_id	mondo_disease_id	mondo_ancestor_id	opentargets_label	rna.value
ATP13A3	ENSG00000133657	MONDO_0015924	MONDO_0004995	heart	12172.0
CACNA1C	ENSG00000151067	MONDO_0015263	MONDO_0004995	heart	12158.0
CACNA1C	ENSG00000151067	MONDO_0000453	MONDO_0004995	heart	12158.0
CACNA1C	ENSG00000151067	MONDO_0002442	MONDO_0004995	heart	12158.0
CACNA1C	ENSG00000151067	MONDO_0010979	MONDO_0004995	heart	12158.0
SPTLC2	ENSG00000100596	MONDO_0004976	MONDO_0005071	spinal cord	12146.0
SPTLC2	ENSG00000100596	MONDO_0013337	MONDO_0005071	spinal cord	12146.0
PRKAG2	ENSG00000106617	MONDO_0800484	MONDO_0004995	heart	12043.5
PRKAG2	ENSG00000106617	MONDO_0005045	MONDO_0004995	heart	12043.5
SGCB	ENSG00000163069	MONDO_0015152	MONDO_0002081	musculature	12027.5
CD164	ENSG00000135535	MONDO_0019587	MONDO_0005071	spinal cord	12008.0
LAMA2	ENSG00000196569	MONDO_0100228	MONDO_0005071	nerve	11937.0
PACS1	ENSG00000175115	MONDO_0014006	MONDO_0005071	brain	11891.0
SNCA	ENSG00000145335	MONDO_0005180	MONDO_0005071	brain	11846.0
GLDC	ENSG00000178445	MONDO_0011612	MONDO_0005066	endocrine gland	11819.5
PARK7	ENSG00000116288	MONDO_0005180	MONDO_0005071	brain	11814.0
NRAS	ENSG00000213281	MONDO_0018997	MONDO_0005046	immune organ	11784.5
RANBP2	ENSG00000153201	MONDO_0009723	MONDO_0005066	endocrine gland	11770.0
FAR1	ENSG00000197601	MONDO_0100230	MONDO_0005071	spinal cord	11759.0
CACNA1E	ENSG00000198216	MONDO_0100062	MONDO_0005071	brain	11682.0
MUC1	ENSG00000185499	MONDO_0020726	MONDO_0002118	kidney	11675.5
UNC80	ENSG00000144406	MONDO_0014777	MONDO_0005071	brain	11641.0
NARS1	ENSG00000134440	MONDO_0100348	MONDO_0005071	brain	11559.5
